tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-23,Ende,Puskesmas Kota Ende,0,0,0,0,0,
2026-08-23,Ende,Puskesmas Nangapanda,0,0,1,0,1,
2026-08-23,Ende,Puskesmas Kotabaru,0,0,15,0,15,
2026-08-23,Ende,Puskesmas Loboniki,0,0,24,0,24,
2026-08-23,Ende,Puskesmas Maubasa,0,0,0,0,0,
2026-08-23,Ende,Puskesmas Wolojita,0,0,5,0,5,
2026-08-23,Ende,Puskesmas Onekore,0,0,45,0,45,
2026-08-23,Ende,Puskesmas Ngalupolo,0,0,3,0,3,Hijau: gastritis; G3P0A2; G3P2A0.
2026-08-23,Ende,Puskesmas Ahmad Yani,0,3,15,0,18,Kuning: GEA; hipertermi; gastritis akut.
2026-08-23,Manggarai Barat,Puskesmas Compang,0,0,0,0,0,
2026-08-23,Manggarai Barat,Puskesmas Golo Welu,0,7,0,0,7,
2026-08-23,Manggarai Barat,Puskesmas Nanga Terang,0,0,10,0,10,
2026-08-23,Manggarai Barat,Puskesmas Orong,0,1,501,0,502,Kuning: GEA
2026-08-23,Manggarai Barat,Puskesmas Ranggu,0,0,23,0,23,
2026-08-23,Manggarai Barat,Puskesmas Tentang,1,2,24,0,27,
2026-08-23,Manggarai Barat,Puskesmas Waning,0,1,15,0,16,
2026-08-23,Manggarai Barat,Puskesmas Bari,0,0,124,0,124,
2026-08-23,Manggarai Barat,Puskesmas Datak,0,0,21,0,21,
2026-08-23,Manggarai Barat,Puskesmas Golo Mori,0,0,7,0,7,
2026-08-23,Manggarai Barat,Puskesmas Kakor,0,0,10,0,10,
2026-08-23,Manggarai Barat,Puskesmas Nangalili,0,0,17,0,17,
2026-08-23,Manggarai Barat,Puskesmas Terang,1,4,63,0,68,
2026-08-23,Manggarai Barat,Puskesmas Wae Nakeng,0,0,596,0,596,
2026-08-23,Manggarai Barat,Puskesmas Benteng,0,0,24,0,24,
2026-08-23,Manggarai Barat,Puskesmas Labuan Bajo,0,0,0,0,0,
2026-08-23,Manggarai Barat,Puskesmas Pacar,0,0,58,0,58,
2026-08-23,Manggarai Barat,Puskesmas Rego,0,0,1,0,1,
2026-08-23,Manggarai Barat,Puskesmas Rekas,0,0,25,0,25,
2026-08-23,Manggarai Barat,Puskesmas Wae Kanta,0,0,120,0,120,
2026-08-23,Manggarai Barat,Puskesmas Wae Pitak,0,1,12,0,13,
2026-08-23,Manggarai Barat,Puskesmas Werang,0,0,21,0,21,
2026-08-23,Manggarai,Puskesmas Lemarang,1,0,10,0,11,"Merah: luka terbuka, menolak dirujuk, sudah ditang..."
2026-08-23,Manggarai,Puskesmas Pagal,0,1,13,0,14,"Kuning: observasi febris dan ISPA, dirawat di PKM."
2026-08-23,Manggarai,Puskesmas Reo,4,9,31,0,44,Merah: trauma tumpul lumbal; 2 fraktur femur; disl...
2026-08-23,Manggarai,Puskesmas Bangka Kenda,0,0,52,0,52,
2026-08-23,Manggarai,Puskesmas Ketang,2,2,5,0,9,Merah: postpartum dengan HPP; hamil 37 minggu deng...
2026-08-23,Manggarai,Puskesmas Kota&#039;,0,0,6,0,6,
2026-08-23,Manggarai,Puskesmas Langgo,1,0,0,0,1,Merah: fraktur tibia fibula sinistra; pulang paksa...
2026-08-23,Manggarai,Puskesmas Langke Majok,0,0,3,0,3,
2026-08-23,Manggarai,Puskesmas Wae Codi,0,0,0,0,0,
2026-08-23,Ngada,Puskesmas Inelika Raya,0,0,51,0,51,
2026-08-23,Ende,Puskesmas watunggere,0,4,0,0,4,Kuning: diare 1; ISPA 3.
2026-08-23,Manggarai Barat,Puskesmas Lengkong Cepang,0,0,10,0,10,
